gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_174014,complete,LIT,2026.0,0.0,1.0,16.01,Blue,top,Boda,BK ROG Esports,1.0,Sion,Malphite,Caitlyn,Zoe,Varus,Corki,2475.0,1.0,2.0,3.0,2.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.3636,0.5818,0.0,1.0,17.0,11.0,7.0,63.0,14855.0,9530.0,231.0303,13875.0,345.0,345.0,0.0,8.3636,3281.0,5162.0,86.0,4001.0,5330.0,85.0,-720.0,-168.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,5093.0,9003.0,130.0,6319.0,9575.0,146.0,-1226.0,-572.0,-16.0,1.0,0.0,3.0,3.0,0.0,1.0,7081.0,12774.0,194.0,8394.0,12933.0,207.0,-1313.0,-159.0,-13.0,1.0,0.0,3.0,3.0,0.0,1.0,8790.0,16183.0,235.0,10204.0,15726.0,255.0,-1414.0,457.0,-20.0,1.0,1.0,3.0,3.0,0.0,2.0
LOLTMNT05_174014,complete,LIT,2026.0,0.0,1.0,16.01,Blue,jng,Jeykup,BK ROG Esports,1.0,Jayce,Malphite,Caitlyn,Zoe,Varus,Corki,2475.0,1.0,1.0,1.0,4.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.3636,0.5818,0.0,0.0,8.0,14.0,4.0,59.0,16883.0,11558.0,280.1939,14500.0,347.0,29.0,318.0,8.4121,3890.0,4565.0,87.0,3487.0,4131.0,78.0,403.0,434.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,5912.0,7487.0,140.0,5578.0,5942.0,103.0,334.0,1545.0,37.0,0.0,1.0,0.0,2.0,0.0,2.0,8029.0,10632.0,193.0,7523.0,9252.0,154.0,506.0,1380.0,39.0,0.0,1.0,0.0,2.0,0.0,2.0,10325.0,14097.0,252.0,9182.0,11239.0,189.0,1143.0,2858.0,63.0,0.0,1.0,0.0,2.0,0.0,2.0
LOLTMNT05_174014,complete,LIT,2026.0,0.0,1.0,16.01,Blue,mid,Sayn,BK ROG Esports,1.0,Syndra,Malphite,Caitlyn,Zoe,Varus,Corki,2475.0,1.0,5.0,2.0,2.0,15.0,9.0,1.0,0.0,0.0,0.0,0.0,0.3636,0.5818,0.0,0.0,19.0,10.0,4.0,59.0,17818.0,12493.0,302.8606,16200.0,424.0,416.0,8.0,10.2788,4200.0,5311.0,95.0,3360.0,4957.0,92.0,840.0,354.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,6299.0,8511.0,153.0,5010.0,8021.0,148.0,1289.0,490.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,8409.0,11464.0,216.0,6904.0,11052.0,212.0,1505.0,412.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,10762.0,14291.0,278.0,8657.0,13793.0,265.0,2105.0,498.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0
LOLTMNT05_174014,complete,LIT,2026.0,0.0,1.0,16.01,Blue,bot,UNF0RGIVEN,BK ROG Esports,1.0,Yunara,Malphite,Caitlyn,Zoe,Varus,Corki,2475.0,1.0,7.0,1.0,3.0,15.0,9.0,1.0,0.0,0.0,0.0,0.0,0.3636,0.5818,0.0,0.0,16.0,13.0,2.0,45.0,24614.0,19289.0,467.6121,19550.0,508.0,475.0,33.0,12.3152,4441.0,3596.0,101.0,3173.0,3106.0,73.0,1268.0,490.0,28.0,1.0,2.0,0.0,0.0,0.0,1.0,8428.0,6249.0,154.0,5156.0,5114.0,116.0,3272.0,1135.0,38.0,4.0,2.0,1.0,0.0,2.0,2.0,11432.0,9240.0,227.0,7338.0,8103.0,183.0,4094.0,1137.0,44.0,4.0,2.0,1.0,0.0,2.0,2.0,14147.0,12871.0,295.0,9498.0,10852.0,246.0,4649.0,2019.0,49.0,5.0,2.0,1.0,0.0,2.0,2.0
LOLTMNT05_174014,complete,LIT,2026.0,0.0,1.0,16.01,Blue,sup,Doss,BK ROG Esports,1.0,Karma,Malphite,Caitlyn,Zoe,Varus,Corki,2475.0,1.0,0.0,2.0,11.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.3636,0.5818,0.0,0.0,78.0,21.0,14.0,158.0,10913.0,5588.0,135.4667,8975.0,30.0,30.0,0.0,0.7273,2685.0,3038.0,7.0,2309.0,2775.0,14.0,376.0,263.0,-7.0,0.0,2.0,0.0,0.0,0.0,1.0,4225.0,4986.0,9.0,3398.0,4223.0,16.0,827.0,763.0,-7.0,0.0,6.0,1.0,0.0,1.0,3.0,5327.0,6156.0,12.0,4595.0,5812.0,23.0,732.0,344.0,-11.0,0.0,6.0,1.0,0.0,1.0,3.0,6544.0,6586.0,20.0,5770.0,6834.0,26.0,774.0,-248.0,-6.0,0.0,6.0,1.0,0.0,1.0,3.0
LOLTMNT05_174014,complete,LIT,2026.0,0.0,1.0,16.01,Blue,team,,BK ROG Esports,1.0,,Malphite,Caitlyn,Zoe,Varus,Corki,2475.0,1.0,15.0,9.0,22.0,15.0,9.0,2.0,0.0,0.0,0.0,0.0,0.3636,0.5818,0.0,1.0,138.0,69.0,31.0,384.0,85083.0,58460.0,1417.2121,73100.0,,1295.0,359.0,40.097,18497.0,21672.0,376.0,16330.0,20299.0,342.0,2167.0,1373.0,34.0,3.0,5.0,2.0,2.0,0.0,3.0,29957.0,36236.0,586.0,25461.0,32875.0,529.0,4496.0,3361.0,57.0,8.0,9.0,5.0,5.0,3.0,8.0,40278.0,50266.0,842.0,34754.0,47152.0,779.0,5524.0,3114.0,63.0,8.0,9.0,5.0,5.0,3.0,8.0,50568.0,64028.0,1080.0,43311.0,58444.0,981.0,7257.0,5584.0,99.0,9.0,10.0,5.0,5.0,3.0,9.0
LOLTMNT04_152165,complete,EBL,2026.0,0.0,1.0,16.02,Blue,top,Boda,BK ROG Esports,1.0,Aurora,Pantheon,Jarvan IV,Neeko,Sion,K'Sante,1853.0,0.0,0.0,3.0,1.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0648,0.5505,0.0,0.0,15.0,8.0,9.0,55.0,11627.0,7571.0,245.1484,11325.0,298.0,298.0,0.0,9.6492,3521.0,5380.0,103.0,3163.0,5224.0,78.0,358.0,156.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,5154.0,8979.0,158.0,4965.0,9049.0,139.0,189.0,-70.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,7863.0,12519.0,221.0,6908.0,12106.0,178.0,955.0,413.0,43.0,0.0,0.0,0.0,1.0,0.0,0.0,9231.0,14531.0,254.0,8608.0,14936.0,216.0,623.0,-405.0,38.0,0.0,0.0,1.0,1.0,3.0,0.0
LOLTMNT04_152165,complete,EBL,2026.0,0.0,1.0,16.02,Blue,jng,Jeykup,BK ROG Esports,1.0,Vi,Pantheon,Jarvan IV,Neeko,Sion,K'Sante,1853.0,0.0,1.0,2.0,1.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0648,0.5505,0.0,1.0,9.0,11.0,4.0,49.0,11585.0,7529.0,243.7885,11050.0,276.0,12.0,264.0,8.9369,3964.0,4832.0,90.0,3862.0,4001.0,73.0,102.0,831.0,17.0,1.0,0.0,0.0,0.0,1.0,1.0,5828.0,7502.0,140.0,5867.0,6353.0,109.0,-39.0,1149.0,31.0,1.0,0.0,0.0,1.0,3.0,1.0,7841.0,10620.0,190.0,8078.0,9269.0,151.0,-237.0,1351.0,39.0,1.0,0.0,0.0,1.0,4.0,1.0,9481.0,12941.0,227.0,9952.0,12199.0,188.0,-471.0,742.0,39.0,1.0,0.0,1.0,1.0,7.0,1.0
LOLTMNT04_152165,complete,EBL,2026.0,0.0,1.0,16.02,Blue,mid,Sayn,BK ROG Esports,1.0,Taliyah,Pantheon,Jarvan IV,Neeko,Sion,K'Sante,1853.0,0.0,1.0,5.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0648,0.5505,0.0,0.0,17.0,5.0,4.0,43.0,10925.0,6869.0,222.4177,10100.0,280.0,276.0,4.0,9.0664,3520.0,5025.0,90.0,4084.0,5184.0,108.0,-564.0,-159.0,-18.0,0.0,0.0,1.0,1.0,0.0,0.0,5265.0,7389.0,136.0,5876.0,7618.0,151.0,-611.0,-229.0,-15.0,0.0,0.0,2.0,2.0,1.0,0.0,7044.0,10140.0,187.0,8226.0,11070.0,219.0,-1182.0,-930.0,-32.0,0.0,0.0,3.0,2.0,1.0,0.0,8665.0,12458.0,237.0,10527.0,15071.0,278.0,-1862.0,-2613.0,-41.0,0.0,0.0,3.0,3.0,2.0,0.0
LOLTMNT04_152165,complete,EBL,2026.0,0.0,1.0,16.02,Blue,bot,UNF0RGIVEN,BK ROG Esports,1.0,Yunara,Pantheon,Jarvan IV,Neeko,Sion,K'Sante,1853.0,0.0,0.0,2.0,1.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0648,0.5505,0.0,0.0,11.0,10.0,2.0,36.0,14040.0,9984.0,323.2812,13850.0,363.0,355.0,8.0,11.7539,3671.0,3732.0,98.0,3460.0,3615.0,91.0,211.0,117.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6414.0,6066.0,157.0,6764.0,6357.0,146.0,-350.0,-291.0,11.0,0.0,0.0,1.0,1.0,2.0,0.0,8973.0,8858.0,225.0,9326.0,8945.0,217.0,-353.0,-87.0,8.0,0.0,0.0,1.0,1.0,2.0,0.0,11183.0,11103.0,291.0,12366.0,11357.0,271.0,-1183.0,-254.0,20.0,0.0,0.0,1.0,3.0,3.0,0.0
LOLTMNT04_152165,complete,EBL,2026.0,0.0,1.0,16.02,Blue,sup,Doss,BK ROG Esports,1.0,Thresh,Pantheon,Jarvan IV,Neeko,Sion,K'Sante,1853.0,0.0,0.0,3.0,1.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0648,0.5505,0.0,0.0,52.0,15.0,11.0,118.0,7002.0,2946.0,95.3913,6600.0,50.0,50.0,0.0,1.619,2204.0,2502.0,19.0,2134.0,3041.0,13.0,70.0,-539.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3445.0,4300.0,38.0,3282.0,4188.0,15.0,163.0,112.0,23.0,0.0,0.0,1.0,0.0,3.0,0.0,4590.0,5351.0,43.0,4342.0,5085.0,17.0,248.0,266.0,26.0,0.0,0.0,1.0,0.0,3.0,0.0,5683.0,6955.0,44.0,5521.0,7184.0,17.0,162.0,-229.0,27.0,0.0,0.0,2.0,0.0,6.0,0.0
LOLTMNT04_152165,complete,EBL,2026.0,0.0,1.0,16.02,Blue,team,,BK ROG Esports,1.0,,Pantheon,Jarvan IV,Neeko,Sion,K'Sante,1853.0,0.0,2.0,15.0,4.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0648,0.5505,0.0,1.0,104.0,49.0,30.0,301.0,55179.0,34900.0,1130.0594,52925.0,,991.0,276.0,41.0254,16880.0,21471.0,400.0,16703.0,21065.0,363.0,177.0,406.0,37.0,1.0,0.0,1.0,1.0,1.0,1.0,26106.0,34236.0,629.0,26754.0,33565.0,560.0,-648.0,671.0,69.0,1.0,0.0,4.0,4.0,9.0,1.0,36311.0,47488.0,866.0,36880.0,46475.0,782.0,-569.0,1013.0,84.0,1.0,0.0,5.0,5.0,10.0,1.0,44243.0,57988.0,1053.0,46974.0,60747.0,970.0,-2731.0,-2759.0,83.0,1.0,0.0,8.0,8.0,21.0,1.0
LOLTMNT01_335001,complete,LJL,2026.0,0.0,1.0,16.02,Red,top,Boda,BK ROG Esports,0.0,Vayne,Orianna,Varus,Kayn,Karma,Lulu,2052.0,1.0,12.0,2.0,1.0,23.0,7.0,3.0,1.0,0.0,0.0,0.0,0.6725,0.8772,0.0,0.0,12.0,6.0,4.0,47.0,18609.0,14147.0,413.655,16625.0,312.0,296.0,16.0,9.1228,3365.0,4744.0,77.0,3346.0,5108.0,79.0,19.0,-364.0,-2.0,1.0,0.0,1.0,0.0,1.0,0.0,5402.0,9041.0,130.0,4758.0,8129.0,121.0,644.0,912.0,9.0,2.0,0.0,1.0,0.0,1.0,1.0,8597.0,13228.0,192.0,6398.0,11392.0,169.0,2199.0,1836.0,23.0,3.0,0.0,1.0,0.0,1.0,1.0,10841.0,16231.0,237.0,8059.0,14213.0,215.0,2782.0,2018.0,22.0,4.0,0.0,1.0,0.0,1.0,1.0
LOLTMNT01_335001,complete,LJL,2026.0,0.0,1.0,16.02,Red,jng,Jeykup,BK ROG Esports,0.0,Xin Zhao,Orianna,Varus,Kayn,Karma,Lulu,2052.0,1.0,4.0,1.0,3.0,23.0,7.0,0.0,0.0,0.0,0.0,0.0,0.6725,0.8772,2.0,0.0,9.0,11.0,5.0,59.0,14051.0,9589.0,280.3801,11925.0,260.0,25.0,235.0,7.6023,3474.0,4259.0,80.0,3903.0,4183.0,76.0,-429.0,76.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,5335.0,6371.0,111.0,5858.0,6234.0,109.0,-523.0,137.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,7718.0,9020.0,157.0,7634.0,8789.0,154.0,84.0,231.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,9892.0,11616.0,198.0,9068.0,11222.0,185.0,824.0,394.0,13.0,2.0,1.0,1.0,2.0,1.0,3.0
LOLTMNT01_335001,complete,LJL,2026.0,0.0,1.0,16.02,Red,mid,Sayn,BK ROG Esports,0.0,Ryze,Orianna,Varus,Kayn,Karma,Lulu,2052.0,1.0,3.0,1.0,4.0,23.0,7.0,0.0,0.0,0.0,0.0,0.0,0.6725,0.8772,0.0,0.0,16.0,9.0,3.0,44.0,13996.0,9534.0,278.7719,12325.0,314.0,301.0,13.0,9.1813,3484.0,4824.0,98.0,3611.0,4839.0,100.0,-127.0,-15.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,5966.0,8158.0,145.0,5752.0,7792.0,157.0,214.0,366.0,-12.0,2.0,1.0,0.0,1.0,1.0,1.0,8208.0,11362.0,205.0,7188.0,9488.0,188.0,1020.0,1874.0,17.0,2.0,1.0,0.0,1.0,1.0,2.0,9869.0,14993.0,251.0,8715.0,11818.0,236.0,1154.0,3175.0,15.0,2.0,2.0,0.0,1.0,1.0,3.0
LOLTMNT01_335001,complete,LJL,2026.0,0.0,1.0,16.02,Red,bot,UNF0RGIVEN,BK ROG Esports,0.0,Corki,Orianna,Varus,Kayn,Karma,Lulu,2052.0,1.0,4.0,1.0,4.0,23.0,7.0,0.0,0.0,0.0,0.0,0.0,0.6725,0.8772,0.0,0.0,14.0,4.0,4.0,20.0,18051.0,13589.0,397.3392,15633.0,382.0,368.0,14.0,11.1696,3556.0,3964.0,99.0,3668.0,4006.0,98.0,-112.0,-42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6280.0,6553.0,155.0,5895.0,6392.0,149.0,385.0,161.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8550.0,9574.0,219.0,8278.0,9587.0,218.0,272.0,-13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11126.0,12540.0,288.0,10261.0,12142.0,277.0,865.0,398.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0
LOLTMNT01_335001,complete,LJL,2026.0,0.0,1.0,16.02,Red,sup,Doss,BK ROG Esports,0.0,Rakan,Orianna,Varus,Kayn,Karma,Lulu,2052.0,1.0,0.0,2.0,13.0,23.0,7.0,0.0,0.0,0.0,0.0,0.0,0.6725,0.8772,0.0,0.0,62.0,19.0,8.0,146.0,9940.0,5478.0,160.1754,8085.0,34.0,34.0,0.0,0.9942,2275.0,2652.0,13.0,2460.0,2724.0,12.0,-185.0,-72.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3648.0,3839.0,19.0,3619.0,3170.0,22.0,29.0,669.0,-3.0,0.0,2.0,1.0,0.0,0.0,0.0,4885.0,4852.0,24.0,4601.0,4311.0,24.0,284.0,541.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,5892.0,5616.0,27.0,5643.0,4572.0,28.0,249.0,1044.0,-1.0,0.0,2.0,1.0,0.0,0.0,1.0
LOLTMNT01_335001,complete,LJL,2026.0,0.0,1.0,16.02,Red,team,,BK ROG Esports,0.0,,Orianna,Varus,Kayn,Karma,Lulu,2052.0,1.0,23.0,7.0,25.0,23.0,7.0,3.0,1.0,0.0,0.0,0.0,0.6725,0.8772,2.0,0.0,113.0,49.0,24.0,316.0,74647.0,52339.0,1530.3801,64593.0,,1024.0,278.0,38.0702,16154.0,20443.0,367.0,16988.0,20860.0,365.0,-834.0,-417.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,26631.0,33962.0,560.0,25882.0,31717.0,558.0,749.0,2245.0,2.0,5.0,4.0,3.0,3.0,3.0,5.0,37958.0,48036.0,797.0,34099.0,43567.0,753.0,3859.0,4469.0,44.0,6.0,4.0,3.0,3.0,3.0,6.0,47620.0,60996.0,1001.0,41746.0,53967.0,941.0,5874.0,7029.0,60.0,8.0,6.0,3.0,3.0,3.0,8.0
LOLTMNT05_176064,complete,LEC,2026.0,0.0,1.0,16.02,Red,top,Boda,BK ROG Esports,0.0,K'Sante,Varus,Ryze,Neeko,Alistar,Braum,1975.0,1.0,5.0,4.0,4.0,21.0,12.0,0.0,0.0,0.0,0.0,0.0,0.638,1.0025,0.0,0.0,13.0,9.0,6.0,51.0,13258.0,8953.0,271.9899,12050.0,258.0,258.0,0.0,7.838,3711.0,5169.0,82.0,3341.0,4994.0,85.0,370.0,175.0,-3.0,1.0,0.0,0.0,0.0,0.0,1.0,5925.0,9848.0,133.0,4793.0,7811.0,124.0,1132.0,2037.0,9.0,2.0,0.0,0.0,0.0,0.0,2.0,7824.0,12453.0,184.0,6816.0,11052.0,158.0,1008.0,1401.0,26.0,2.0,0.0,2.0,1.0,2.0,3.0,9617.0,15566.0,217.0,8200.0,13517.0,190.0,1417.0,2049.0,27.0,3.0,0.0,4.0,1.0,4.0,3.0
