gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_336132,complete,HLL,2026.0,0.0,1.0,16.01,Blue,bot,Smash,Dplus Kia,0.0,Ezreal,Azir,Jayce,Orianna,Renekton,Kai'Sa,1699.0,1.0,6.0,1.0,7.0,22.0,7.0,1.0,0.0,0.0,0.0,0.0,0.7769,1.0241,1.0,0.0,16.0,5.0,7.0,38.0,16005.0,12263.0,433.0665,14158.0,308.0,284.0,24.0,10.877,3778.0,3674.0,96.0,3296.0,3221.0,85.0,482.0,453.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,6195.0,5850.0,145.0,6325.0,5377.0,137.0,-130.0,473.0,8.0,0.0,2.0,1.0,1.0,0.0,1.0,10043.0,9540.0,208.0,9491.0,7860.0,182.0,552.0,1680.0,26.0,3.0,3.0,1.0,3.0,0.0,3.0,12573.0,12772.0,280.0,12290.0,10357.0,249.0,283.0,2415.0,31.0,3.0,3.0,1.0,4.0,0.0,3.0
LOLTMNT05_171122,complete,LIT,2026.0,0.0,2.0,16.01,Blue,bot,Smash,Dplus Kia,0.0,Sivir,Azir,Jayce,Vi,Rakan,Nautilus,1530.0,1.0,4.0,1.0,10.0,27.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0588,1.3333,0.0,0.0,13.0,8.0,7.0,40.0,15101.0,11704.0,458.9804,13325.0,293.0,287.0,6.0,11.4902,3657.0,3896.0,86.0,3311.0,3587.0,82.0,346.0,309.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,7180.0,6747.0,148.0,5541.0,5991.0,137.0,1639.0,756.0,11.0,2.0,1.0,0.0,0.0,2.0,2.0,11049.0,10333.0,226.0,7761.0,8848.0,198.0,3288.0,1485.0,28.0,3.0,1.0,0.0,0.0,2.0,2.0,14335.0,13890.0,284.0,10188.0,11059.0,240.0,4147.0,2831.0,44.0,3.0,8.0,1.0,1.0,2.0,4.0
LOLTMNT06_164179,complete,AL,2026.0,0.0,1.0,16.01,Blue,bot,Smash,Dplus Kia,0.0,Yunara,Azir,Orianna,Neeko,Varus,Jhin,1505.0,1.0,5.0,1.0,9.0,17.0,3.0,2.0,1.0,0.0,0.0,0.0,0.6777,0.7973,0.0,0.0,11.0,10.0,2.0,33.0,13393.0,10047.0,400.5449,9750.0,274.0,274.0,0.0,10.9236,3452.0,3523.0,91.0,3956.0,3194.0,91.0,-504.0,329.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,6611.0,5756.0,151.0,6113.0,4835.0,138.0,498.0,921.0,13.0,2.0,1.0,1.0,1.0,1.0,0.0,9696.0,8992.0,220.0,7972.0,7126.0,189.0,1724.0,1866.0,31.0,2.0,4.0,1.0,1.0,1.0,1.0,13381.0,12241.0,274.0,10184.0,9196.0,238.0,3197.0,3045.0,36.0,5.0,9.0,1.0,1.0,1.0,3.0
LOLTMNT05_172150,complete,LIT,2026.0,0.0,2.0,16.01,Blue,bot,Smash,Dplus Kia,0.0,Varus,Orianna,Azir,Akali,Ezreal,Sivir,1536.0,1.0,5.0,2.0,7.0,15.0,6.0,0.0,0.0,0.0,0.0,1.0,0.5859,0.8203,0.0,0.0,12.0,9.0,4.0,32.0,13685.0,10276.0,401.4063,11650.0,262.0,262.0,0.0,10.2344,3301.0,3649.0,85.0,3825.0,3394.0,85.0,-524.0,255.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5388.0,5572.0,133.0,6256.0,5766.0,137.0,-868.0,-194.0,-4.0,0.0,1.0,2.0,1.0,3.0,0.0,8201.0,8580.0,199.0,8370.0,8231.0,195.0,-169.0,349.0,4.0,1.0,1.0,2.0,1.0,3.0,0.0,12575.0,12580.0,256.0,10175.0,10375.0,239.0,2400.0,2205.0,17.0,4.0,5.0,2.0,1.0,5.0,2.0
LOLTMNT03_338642,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,bot,Smash,Dplus Kia,0.0,Sivir,Orianna,Azir,Jayce,Nautilus,Varus,2306.0,1.0,5.0,0.0,8.0,20.0,9.0,1.0,0.0,0.0,0.0,0.0,0.5204,0.7546,0.0,0.0,16.0,10.0,6.0,41.0,22007.0,17027.0,443.0269,19450.0,467.0,427.0,40.0,12.1509,3304.0,3478.0,88.0,3475.0,3696.0,94.0,-171.0,-218.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,5425.0,5723.0,138.0,5744.0,5911.0,144.0,-319.0,-188.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,7627.0,9040.0,207.0,7876.0,8664.0,204.0,-249.0,376.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11001.0,12323.0,284.0,10540.0,11698.0,278.0,461.0,625.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
LOLTMNT03_339549,complete,LCKC,2026.0,0.0,2.0,16.01,Blue,bot,Smash,Dplus Kia,0.0,Varus,Orianna,Azir,Jayce,Braum,Alistar,1436.0,0.0,3.0,4.0,3.0,8.0,21.0,0.0,0.0,0.0,0.0,0.0,0.3343,1.2117,0.0,0.0,12.0,5.0,4.0,26.0,10051.0,6846.0,286.0446,9650.0,216.0,216.0,0.0,9.0251,4676.0,3472.0,79.0,3457.0,3255.0,71.0,1219.0,217.0,8.0,3.0,2.0,2.0,0.0,2.0,2.0,6580.0,5562.0,129.0,6813.0,5820.0,127.0,-233.0,-258.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,8947.0,8401.0,188.0,9963.0,9156.0,193.0,-1016.0,-755.0,-5.0,3.0,3.0,3.0,2.0,3.0,2.0,,,,,,,,,,,,,,,
LOLTMNT03_339556,complete,LCKC,2026.0,0.0,3.0,16.01,Blue,bot,Smash,Dplus Kia,0.0,Lucian,Orianna,Azir,Lulu,Xin Zhao,Wukong,1626.0,1.0,6.0,4.0,11.0,30.0,8.0,1.0,0.0,0.0,0.0,0.0,1.107,1.4022,0.0,0.0,14.0,6.0,4.0,33.0,14638.0,11045.0,407.5646,12650.0,242.0,241.0,1.0,8.9299,3386.0,2953.0,77.0,4098.0,3245.0,91.0,-712.0,-292.0,-14.0,1.0,0.0,1.0,2.0,0.0,0.0,6139.0,5214.0,123.0,6029.0,4705.0,138.0,110.0,509.0,-15.0,2.0,2.0,2.0,2.0,0.0,2.0,9639.0,8253.0,178.0,8607.0,7155.0,190.0,1032.0,1098.0,-12.0,4.0,4.0,3.0,3.0,1.0,4.0,12627.0,11388.0,228.0,10604.0,8575.0,226.0,2023.0,2813.0,2.0,5.0,7.0,4.0,4.0,1.0,6.0
LOLTMNT06_166077,complete,AL,2026.0,0.0,1.0,16.01,Blue,bot,Smash,Dplus Kia,1.0,Corki,Malphite,Azir,Yunara,Renekton,Poppy,2034.0,0.0,3.0,1.0,0.0,6.0,19.0,0.0,0.0,0.0,0.0,0.0,0.177,0.7375,0.0,0.0,15.0,12.0,5.0,45.0,16644.0,12219.0,360.4425,16158.0,398.0,382.0,16.0,11.7404,3798.0,3818.0,105.0,3575.0,4043.0,101.0,223.0,-225.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6290.0,6221.0,161.0,6103.0,6555.0,158.0,187.0,-334.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,8544.0,8656.0,227.0,8676.0,9772.0,225.0,-132.0,-1116.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,10623.0,11179.0,290.0,11238.0,12691.0,291.0,-615.0,-1512.0,-1.0,1.0,0.0,0.0,0.0,3.0,0.0
LOLTMNT01_327530,complete,HW,2026.0,0.0,2.0,16.01,Red,bot,Smash,Dplus Kia,0.0,Yunara,Azir,Jayce,Aurora,Nautilus,Blitzcrank,1817.0,0.0,1.0,5.0,3.0,5.0,22.0,0.0,0.0,0.0,0.0,1.0,0.1651,0.8916,0.0,0.0,12.0,13.0,4.0,37.0,11771.0,7789.0,257.2042,11350.0,271.0,260.0,11.0,8.9488,3328.0,2871.0,68.0,3893.0,3484.0,87.0,-565.0,-613.0,-19.0,1.0,0.0,2.0,1.0,3.0,1.0,5529.0,4881.0,115.0,6240.0,5915.0,153.0,-711.0,-1034.0,-38.0,1.0,2.0,2.0,1.0,3.0,1.0,7499.0,7448.0,171.0,9066.0,8794.0,213.0,-1567.0,-1346.0,-42.0,1.0,2.0,2.0,2.0,5.0,1.0,9359.0,8923.0,217.0,11417.0,10849.0,259.0,-2058.0,-1926.0,-42.0,1.0,2.0,3.0,3.0,6.0,1.0
LOLTMNT04_152566,complete,LIT,2026.0,0.0,1.0,16.02,Blue,bot,Smash,Dplus Kia,0.0,Ezreal,Jayce,Bard,Nocturne,Sivir,Kai'Sa,1992.0,0.0,3.0,3.0,5.0,11.0,21.0,0.0,0.0,0.0,0.0,0.0,0.3313,0.9639,0.0,0.0,13.0,5.0,4.0,30.0,13858.0,9519.0,286.7169,13108.0,327.0,326.0,1.0,9.8494,3586.0,3687.0,102.0,3983.0,3687.0,103.0,-397.0,0.0,-1.0,0.0,0.0,1.0,1.0,1.0,0.0,5662.0,6222.0,157.0,6302.0,5904.0,159.0,-640.0,318.0,-2.0,0.0,0.0,1.0,1.0,1.0,0.0,8117.0,9279.0,211.0,8967.0,8884.0,227.0,-850.0,395.0,-16.0,1.0,2.0,1.0,1.0,2.0,0.0,11006.0,11805.0,263.0,11669.0,10958.0,268.0,-663.0,847.0,-5.0,3.0,3.0,1.0,3.0,2.0,0.0
LOLTMNT01_335726,complete,CBLOL,2026.0,0.0,2.0,16.02,Red,bot,Smash,Dplus Kia,0.0,Corki,Jayce,Bard,Aphelios,Yunara,Ashe,1685.0,0.0,4.0,4.0,2.0,11.0,28.0,0.0,0.0,0.0,0.0,0.0,0.3917,1.3887,0.0,0.0,12.0,10.0,4.0,37.0,16362.0,12649.0,450.4095,16233.0,321.0,321.0,0.0,11.4303,3568.0,3968.0,95.0,4053.0,4006.0,100.0,-485.0,-38.0,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,6314.0,6428.0,155.0,6757.0,6245.0,157.0,-443.0,183.0,-2.0,1.0,0.0,0.0,1.0,0.0,0.0,9199.0,9211.0,226.0,11307.0,10285.0,225.0,-2108.0,-1074.0,1.0,1.0,0.0,1.0,3.0,5.0,0.0,10881.0,11351.0,265.0,16097.0,13834.0,264.0,-5216.0,-2483.0,1.0,1.0,1.0,3.0,8.0,9.0,0.0
LOLTMNT01_336588,complete,CBLOL,2026.0,0.0,3.0,16.02,Red,bot,Smash,Dplus Kia,0.0,Lucian,Jayce,Bard,Aurora,Blitzcrank,Ashe,2378.0,0.0,3.0,5.0,9.0,16.0,31.0,0.0,0.0,0.0,0.0,0.0,0.4037,1.1859,0.0,0.0,18.0,20.0,8.0,65.0,19501.0,14374.0,362.6745,19000.0,401.0,397.0,4.0,10.1177,3767.0,3451.0,93.0,4694.0,3281.0,80.0,-927.0,170.0,13.0,0.0,3.0,1.0,3.0,1.0,1.0,5847.0,5577.0,139.0,7128.0,5905.0,137.0,-1281.0,-328.0,2.0,0.0,3.0,1.0,4.0,2.0,1.0,8072.0,8009.0,191.0,10158.0,8767.0,190.0,-2086.0,-758.0,1.0,0.0,4.0,2.0,7.0,3.0,2.0,10312.0,10496.0,259.0,12463.0,11895.0,255.0,-2151.0,-1399.0,4.0,0.0,4.0,2.0,7.0,3.0,2.0
